# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.000000,0.810804,-0.000000,-0.000000,4.259110,-9.208320,7.223340,-2.486207,0.318965,-0.983178,0.000000,-0.000000,-0.067041,0.082686,0.034924,-0.034707,0.005499,0.984117,0.000000,0.000000,-0.721220,1.361265,-1.013275,0.340022,-0.043025,0.398438,-0.000000,-0.000000,29.582067,-56.280774,43.125575,-15.120142,2.008404
2.000000,0.407767,-0.144985,0.077190,0.353582,-0.692664,0.410128,-0.095546,0.006803,-0.596258,0.435463,-0.257816,-0.481954,-0.122869,0.772956,-0.424139,0.068659,0.823969,-0.147277,-0.026709,-0.052783,-0.145289,0.322989,-0.172820,0.028920,5.967630,0.743801,-2.386738,9.842398,-16.953050,12.742045,-4.452968,0.593002
2.000000,0.052569,-0.245163,0.025842,-0.260048,0.841380,-0.812868,0.318747,-0.044809,-0.200092,0.849929,0.083501,0.040064,-0.970610,0.733377,-0.172181,0.008769,0.652655,0.077190,-0.033644,0.248569,-0.525621,0.318681,-0.068370,0.003142,4.058391,-3.133401,-1.057030,3.505946,-6.280826,5.094716,-1.898399,0.267221
2.000000,-0.300170,-0.242505,0.017102,-0.137048,0.572981,-0.588610,0.237474,-0.034096,0.195449,0.145142,0.268786,-1.028017,1.668076,-1.195076,0.387276,-0.046712,0.475423,-0.119173,0.040258,-0.388611,0.665506,-0.453378,0.140768,-0.016705,-3.144514,-3.476902,0.772900,2.947949,-7.563944,7.408278,-3.144628,0.487390
2.000000,-0.646953,-0.252148,-0.061286,-0.195589,1.290415,-1.541006,0.702125,-0.111555,0.590041,0.086417,0.084163,0.318961,-2.676460,3.575220,-1.732328,0.285682,0.300189,-0.051729,-0.030703,-0.031417,-0.424161,0.650571,-0.317393,0.051381,-6.251664,0.188072,2.403266,8.565219,-27.107329,27.751505,-11.970112,1.859357
